num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %,Rep_of_class_predict,Sequences_by_cltr,family_2021,family_2023,family_divercity,Genus,Protein_type,Protein_class,Host,Chain
3552,OP272713.1_2_301_2847,848,2,1.0,28,28.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
3553,OP272781.1_2_275_2764,829,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
3554,OP272804.1_2_281_2794,837,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
3555,OP272806.1_2_275_2788,837,2,1.0,27,27.0,100.0,AKZ15547.1,70061,Retroviridae,Retroviridae,Retroviridae-Coronaviridae,Lentivirus,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT
3556,OP329436.1_1_2_1150,383,0,0.9,5,1.0,20.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
3557,OP330361.1_1_1_981,327,59,0.95,2,1.0,50.0,AFU32554.1,2233,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Polyprotein,Homo sapiens,ssRNA-RT
3558,OP330537.1_1_3_1292,430,0,0.93,7,4.0,57.14,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
3559,OP330757.1_1_1_1362,454,59,0.89,8,6.0,75.0,AFU32554.1,2233,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Polyprotein,Homo sapiens,ssRNA-RT
3560,OP330859.1_1_1_1317,439,0,0.91,7,2.0,28.57,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
3561,OP331104.1_1_1_1350,450,0,0.93,8,1.0,12.5,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
3562,OP346702.1_1_1_1092,364,0,1.0,4,4.0,100.0,NP_663784.1,12256,Retroviridae,Retroviridae,Retroviridae,Lentivirus,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT
3563,OX421994.1_1_1_1542,513,19,0.98,11,10.0,90.91,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
3564,ON262162.1_1_1_939,313,175,1.0,1,1.0,100.0,AGO32039.1,587,Reoviridae,Spinareoviridae,Reoviridae,Orthoreovirus,sigma C,Cellular-Regulation,Gallus gallus,dsRNA
3565,ON262195.1_1_1_939,313,175,1.0,1,1.0,100.0,AGO32039.1,587,Reoviridae,Spinareoviridae,Reoviridae,Orthoreovirus,sigma C,Cellular-Regulation,Gallus gallus,dsRNA
3566,OQ348864.1_2_943_1992,349,112,1.0,3,3.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
3567,OQ348864.1_3_2082_3839,585,371,0.99,15,15.0,100.0,ADZ29764.1,184,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
3568,OQ348864.1_4_4084_5397,437,635,1.0,7,7.0,100.0,YP_005296211.1,85,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV017 protein,Other-Functions,Homo sapiens,dsDNA
3569,OQ348864.1_11_10159_12114,651,442,1.0,18,18.0,100.0,SNB53750.1,146,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
3570,OQ348864.1_13_12616_14508,630,563,0.99,17,17.0,100.0,AXN75247.1,110,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV027 protein,Other-Functions,Homo sapiens,dsDNA
3571,OQ348864.1_22_20346_21674,442,535,1.0,8,8.0,100.0,YP_010085700.1,119,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV039 protein,Other-Functions,Homo sapiens,dsDNA
3572,OQ348864.1_25_23592_24719,375,978,0.98,4,3.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
3573,OQ348864.1_27_25064_26338,424,650,1.0,7,7.0,100.0,YP_009268722.1,80,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV044 protein,Other-Functions,Homo sapiens,dsDNA
3574,OQ348864.1_32_28987_30048,353,670,0.97,3,2.0,66.67,AKG51195.1,75,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV050 protein,Other-Functions,Homo sapiens,dsDNA
3575,OQ348864.1_33_30260_31405,381,168,0.85,5,2.0,40.0,QKU35692.1,619,Mimiviridae,Mimiviridae,Mimiviridae-Marseilleviridae,Mimivirus,putative ankyrin repeat protein,Other-Functions,Acanthamoeba castellanii,dsDNA
3576,OQ348864.1_37_33918_35237,439,513,1.0,7,7.0,100.0,YP_009112869.1,125,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,Ser/Thr kinase,Other-Functions,Homo sapiens,dsDNA
3577,OQ348864.1_38_35260_36294,344,112,0.99,3,1.0,33.33,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
3578,OQ348864.1_39_36368_38275,635,421,1.0,17,17.0,100.0,QHG62585.1,155,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,EEV maturation protein,Other-Functions,Homo sapiens,dsDNA
3579,OQ348864.1_40_38318_39436,372,182,1.0,4,4.0,100.0,QHW16755.1,542,Poxviridae,Poxviridae,Poxviridae,Parapoxvirus,major envelope protein,Structural-Envelope,Capra hircus,dsDNA
3580,OQ348864.1_46_41490_42929,479,553,1.0,9,9.0,100.0,3OWG_A,114,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,poly(A) polymerase large subunit,Replication-Transcription,Homo sapiens,dsDNA
3581,OQ348864.1_47_42926_45139,737,482,1.0,22,20.0,90.91,QGN68033.1,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3582,OQ348864.1_51_47442_49145,567,431,1.0,14,14.0,100.0,YP_010085169.1,151,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3583,OQ348864.1_54_50659_53679,1006,243,1.0,36,36.0,100.0,NP_957802.1,349,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA
3584,OQ348864.1_57_54369_56366,665,385,1.0,19,19.0,100.0,QHR82581.1,177,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
3585,OQ348864.1_59_56886_57824,312,676,0.83,1,1.0,100.0,QDZ58984.1,73,Phasmaviridae,Phasmaviridae,Phasmaviridae-Peribunyaviridae,Orthophasmavirus,RNA-dependent RNA polymerase,Replication-Transcription,Chaoborus americanus,ssRNA(-)
3586,OQ348864.1_62_58944_61220,758,250,1.0,23,23.0,100.0,AAN04389.1,336,Poxviridae,Poxviridae,Poxviridae-Phycodnaviridae-Baculoviridae-Mimiviridae-Asfarviridae-Nimaviridae-Alloherpesviridae-Nudiviridae-Hytrosaviridae-Caulimoviridae,Orthopoxvirus,ribonucleotide reductase large subunit,Other-Functions,Homo sapiens,dsDNA
3587,OQ348864.1_63_61545_62693,382,521,1.0,5,5.0,100.0,QJQ40211.1,123,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
3588,OQ348864.1_64_62686_63957,423,465,1.0,7,7.0,100.0,NP_044000.1,139,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,viral core cysteine proteinase,Structural-Envelope,Homo sapiens,dsDNA
3589,OQ348864.1_65_63963_65993,676,361,1.0,19,19.0,100.0,BCT22704.1,190,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,RNA-helicase,Replication-Transcription,Homo sapiens,dsDNA
3590,OQ348864.1_66_65997_67772,591,614,1.0,15,15.0,100.0,QGN68052.1,90,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV088 protein,Other-Functions,Homo sapiens,dsDNA
3591,OQ348864.1_70_69107_70411,434,461,1.0,7,7.0,100.0,QDJ95070.1,141,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3592,OQ348864.1_73_71073_72188,371,979,0.99,4,1.0,25.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
3593,OQ348864.1_75_73021_74043,340,897,0.94,2,1.0,50.0,AKS10590.1,39,Nimaviridae,Nimaviridae,Nimaviridae-Caulimoviridae,Whispovirus,hypothetical protein,Other-Functions,Penaeus vannamei,dsDNA
3594,OQ348864.1_78_75082_76116,344,917,0.94,3,1.0,33.33,YP_009051991.1,37,Herpesviridae,Orthoherpesviridae,Herpesviridae,Roseolovirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3595,OQ348864.1_83_78326_79327,333,979,0.99,2,2.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
3596,OQ348864.1_86_80367_84227,1286,321,1.0,50,50.0,100.0,ACN81881.1,227,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA-dependent RNA polymerase subunit rpo147,Replication-Transcription,Homo sapiens,dsDNA
3597,OQ348864.1_89_85326_86300,324,978,1.0,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
3598,OQ348864.1_90_86301_88520,739,391,0.99,22,22.0,100.0,YP_009112799.1,175,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV113 protein,Replication-Transcription,Homo sapiens,dsDNA
3599,OQ348864.1_95_90972_93509,845,394,1.0,28,28.0,100.0,AQY17018.1,173,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,mRNA capping enzyme large subunit,Other-Functions,Homo sapiens,dsDNA
3600,OQ348864.1_98_95290_97647,785,496,1.0,25,25.0,100.0,YP_008658501.1,130,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,NTPase,Other-Functions,Homo sapiens,dsDNA
3601,OQ348864.1_99_97687_99600,637,539,1.0,17,17.0,100.0,YP_009162462.1,117,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,m81R,Replication-Transcription,Homo sapiens,dsDNA
3602,OQ348864.1_101_100075_100989,304,873,0.97,1,1.0,100.0,YP_003987358.1,42,Mimiviridae,Mimiviridae,Mimiviridae-Phycodnaviridae-Marseilleviridae,Mimivirus,putative serine/threonine-protein kinase/receptor,Other-Functions,Acanthamoeba castellanii,dsDNA
3603,OQ348864.1_104_102416_104311,631,500,1.0,17,17.0,100.0,YP_009389359.1,129,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV128 protein,Replication-Transcription,Homo sapiens,dsDNA
3604,OQ348864.1_106_105240_106895,551,483,1.0,13,13.0,100.0,6BEB_A,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV131 protein,Structural-Envelope,Homo sapiens,dsDNA
3605,OQ348864.1_110_108311_110245,644,235,1.0,18,18.0,100.0,YP_010085229.1,361,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,4b core protein,Structural-Envelope,Gallus gallus,dsDNA
3606,OQ348864.1_113_111663_112781,372,374,0.91,4,3.0,75.0,YP_010088065.1,181,Fimoviridae,Fimoviridae,Fimoviridae,Emaravirus,RNA-dependent RNA polymerase,Replication-Transcription,Rosa sp.,ssRNA(-)
3607,OQ348864.1_114_112805_114937,710,414,1.0,21,21.0,100.0,NP_957860.1,159,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV139 protein,Other-Functions,Homo sapiens,dsDNA
3608,OQ348864.1_117_116153_118828,891,331,1.0,30,30.0,100.0,YP_009268819.1,215,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV142 protein,Other-Functions,Homo sapiens,dsDNA
3609,OQ348864.1_118_118843_119799,318,370,0.97,1,1.0,100.0,YP_009252248.1,184,Herpesviridae,Orthoherpesviridae,Herpesviridae,Varicellovirus,ORF22,Structural-Envelope,Homo sapiens,dsDNA
3610,OQ348864.1_122_121423_122556,377,112,1.0,4,4.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
3611,OQ348864.1_124_123203_124666,487,378,1.0,10,10.0,100.0,QHW17751.1,180,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA helicase,Replication-Transcription,Homo sapiens,dsDNA
3612,OQ348864.1_126_125227_126507,426,562,1.0,7,7.0,100.0,YP_009268831.1,111,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA polymerase processivity factor,Replication-Transcription,Homo sapiens,dsDNA
3613,OQ348864.1_128_127020_128168,382,562,0.99,5,5.0,100.0,YP_009268831.1,111,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA polymerase processivity factor,Replication-Transcription,Homo sapiens,dsDNA
3614,OQ348864.1_129_128165_131659,1164,377,1.0,44,44.0,100.0,BCT22673.1,180,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA-dependent RNA polymerase subunit rpo132,Replication-Transcription,Homo sapiens,dsDNA
3615,OQ348864.1_133_133243_135333,696,337,1.0,20,20.0,100.0,SNB54148.1,207,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,cowpox A-type inclusion protein,Other-Functions,Homo sapiens,dsDNA
3616,OQ348864.1_134_135379_136908,509,354,1.0,11,11.0,100.0,SNB57926.1,194,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,cowpox A-type inclusion protein,Other-Functions,Homo sapiens,dsDNA
3617,OQ348864.1_137_137733_138650,305,885,0.91,1,1.0,100.0,YP_009362026.1,40,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Herbevirus,RNA-dependent RNA polymerase,Replication-Transcription,Culex simpliciforceps,ssRNA(-)
3618,OQ348864.1_143_141443_142705,420,3,0.96,6,3.0,50.0,7LX5_B,7401,Coronaviridae,Coronaviridae,Coronaviridae-Reoviridae,Betacoronavirus,surface glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(+)
3619,OQ348864.1_152_147596_148636,346,486,0.94,3,2.0,66.67,YP_654692.1,133,Iridoviridae,Iridoviridae,Iridoviridae-Ascoviridae,Ranavirus,DNA polymerase,Replication-Transcription,Ambystoma tigrinum,dsDNA
3620,OQ348864.1_157_151933_153612,559,402,1.0,13,13.0,100.0,GBG35356.1,167,Poxviridae,Poxviridae,Poxviridae-Baculoviridae-Nimaviridae-Caulimoviridae,Orthopoxvirus,DNA ligase,Other-Functions,Homo sapiens,dsDNA
3621,OQ348864.1_158_153653_154657,334,112,0.99,2,1.0,50.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
3622,OQ348864.1_163_158158_159099,313,748,1.0,1,1.0,100.0,NP_050266.1,59,Herpesviridae,Orthoherpesviridae,Herpesviridae,Roseolovirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3623,OQ348864.1_165_160831_162348,505,460,1.0,11,11.0,100.0,SMZ64733.1,141,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,DNA-Binding,Homo sapiens,dsDNA
3624,OQ348864.1_166_162574_164259,561,555,1.0,14,14.0,100.0,YP_009143489.1,113,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
3625,OQ348864.1_167_164363_165316,317,926,1.0,1,1.0,100.0,ALD83625.1,36,Nairoviridae,Nairoviridae,Nairoviridae,Orthonairovirus,glycoprotein precursor,Glycoprotein,Ixodes uriae,ssRNA(-)
3626,OQ348864.1_174_170229_171263,344,295,0.96,3,2.0,66.67,AIE40966.1,256,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV217 protein-IL-1 convertase,Other-Functions,Homo sapiens,dsDNA
3627,OQ348864.1_178_173758_174828,356,978,0.9,3,2.0,66.67,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
3628,OQ348864.1_179_174897_177260,787,429,1.0,25,25.0,100.0,YP_009408570.1,151,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV011 protein,Other-Functions,Homo sapiens,dsDNA
3629,OQ348864.1_182_178507_179580,357,295,1.0,3,3.0,100.0,AIE40966.1,256,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV217 protein-IL-1 convertase,Other-Functions,Homo sapiens,dsDNA
3630,OQ348864.1_184_180597_186239,1880,501,1.0,79,79.0,100.0,QGM48758.1,128,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3631,OQ348864.1_189_190295_191608,437,635,1.0,7,7.0,100.0,YP_005296211.1,85,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV017 protein,Other-Functions,Homo sapiens,dsDNA
3632,OQ348864.1_190_191853_193610,585,371,0.99,15,15.0,100.0,ADZ29764.1,184,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
3633,OQ348864.1_191_193700_194749,349,112,1.0,3,3.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
3634,OQ348894.1_2_943_1992,349,112,1.0,3,3.0,100.0,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
3635,OQ348894.1_3_2082_3839,585,371,0.99,15,15.0,100.0,ADZ29764.1,184,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
3636,OQ348894.1_4_4084_5397,437,635,1.0,7,7.0,100.0,YP_005296211.1,85,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV017 protein,Other-Functions,Homo sapiens,dsDNA
3637,OQ348894.1_11_10159_12141,660,442,1.0,18,18.0,100.0,SNB53750.1,146,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,ankyrin-like protein,Other-Functions,Homo sapiens,dsDNA
3638,OQ348894.1_13_12616_14508,630,563,0.99,17,17.0,100.0,AXN75247.1,110,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV027 protein,Other-Functions,Homo sapiens,dsDNA
3639,OQ348894.1_22_20346_21674,442,535,1.0,8,8.0,100.0,YP_010085700.1,119,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV039 protein,Other-Functions,Homo sapiens,dsDNA
3640,OQ348894.1_25_23592_24719,375,978,0.98,4,3.0,75.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
3641,OQ348894.1_27_25064_26338,424,650,1.0,7,7.0,100.0,YP_009268722.1,80,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV044 protein,Other-Functions,Homo sapiens,dsDNA
3642,OQ348894.1_32_28987_30435,482,670,1.0,10,10.0,100.0,AKG51195.1,75,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV050 protein,Other-Functions,Homo sapiens,dsDNA
3643,OQ348894.1_33_30446_31405,319,979,1.0,1,1.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
3644,OQ348894.1_39_33918_35237,439,513,1.0,7,7.0,100.0,YP_009112869.1,125,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,Ser/Thr kinase,Other-Functions,Homo sapiens,dsDNA
3645,OQ348894.1_40_35260_36294,344,112,0.99,3,1.0,33.33,QEO75949.1,972,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
3646,OQ348894.1_41_36368_38275,635,421,1.0,17,17.0,100.0,QHG62585.1,155,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,EEV maturation protein,Other-Functions,Homo sapiens,dsDNA
3647,OQ348894.1_42_38318_39436,372,182,1.0,4,4.0,100.0,QHW16755.1,542,Poxviridae,Poxviridae,Poxviridae,Parapoxvirus,major envelope protein,Structural-Envelope,Capra hircus,dsDNA
3648,OQ348894.1_48_41490_42929,479,553,1.0,9,9.0,100.0,3OWG_A,114,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,poly(A) polymerase large subunit,Replication-Transcription,Homo sapiens,dsDNA
3649,OQ348894.1_49_42926_45139,737,482,1.0,22,20.0,90.91,QGN68033.1,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3650,OQ348894.1_53_47442_49145,567,431,1.0,14,14.0,100.0,YP_010085169.1,151,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3651,OQ348894.1_56_50659_53679,1006,243,1.0,36,36.0,100.0,NP_957802.1,349,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,DNA polymerase,Replication-Transcription,Homo sapiens,dsDNA
3652,OQ348894.1_59_54369_56366,665,385,1.0,19,19.0,100.0,QHR82581.1,177,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
3653,OQ348894.1_61_56886_57824,312,676,0.83,1,1.0,100.0,QDZ58984.1,73,Phasmaviridae,Phasmaviridae,Phasmaviridae-Peribunyaviridae,Orthophasmavirus,RNA-dependent RNA polymerase,Replication-Transcription,Chaoborus americanus,ssRNA(-)
3654,OQ348894.1_64_58944_61220,758,250,1.0,23,23.0,100.0,AAN04389.1,336,Poxviridae,Poxviridae,Poxviridae-Phycodnaviridae-Baculoviridae-Mimiviridae-Asfarviridae-Nimaviridae-Alloherpesviridae-Nudiviridae-Hytrosaviridae-Caulimoviridae,Orthopoxvirus,ribonucleotide reductase large subunit,Other-Functions,Homo sapiens,dsDNA
3655,OQ348894.1_65_61545_62693,382,521,1.0,5,5.0,100.0,QJQ40211.1,123,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Hypothetical,Homo sapiens,dsDNA
3656,OQ348894.1_66_62686_63957,423,465,1.0,7,7.0,100.0,NP_044000.1,139,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,viral core cysteine proteinase,Structural-Envelope,Homo sapiens,dsDNA
3657,OQ348894.1_67_63963_65993,676,361,1.0,19,19.0,100.0,BCT22704.1,190,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,RNA-helicase,Replication-Transcription,Homo sapiens,dsDNA
3658,OQ348894.1_68_65997_67772,591,614,1.0,15,15.0,100.0,QGN68052.1,90,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV088 protein,Other-Functions,Homo sapiens,dsDNA
3659,OQ348894.1_72_69107_70411,434,461,1.0,7,7.0,100.0,QDJ95070.1,141,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3660,OQ348894.1_75_71073_72188,371,979,0.99,4,1.0,25.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
3661,OQ348894.1_77_73021_74043,340,897,0.94,2,1.0,50.0,AKS10590.1,39,Nimaviridae,Nimaviridae,Nimaviridae-Caulimoviridae,Whispovirus,hypothetical protein,Other-Functions,Penaeus vannamei,dsDNA
3662,OQ348894.1_80_75082_76116,344,917,0.94,3,1.0,33.33,YP_009051991.1,37,Herpesviridae,Orthoherpesviridae,Herpesviridae,Roseolovirus,hypothetical protein,Other-Functions,Homo sapiens,dsDNA
3663,OQ348894.1_85_78326_79327,333,979,0.99,2,2.0,100.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
3664,OQ348894.1_88_80367_84227,1286,321,1.0,50,50.0,100.0,ACN81881.1,227,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,DNA-dependent RNA polymerase subunit rpo147,Replication-Transcription,Homo sapiens,dsDNA
3665,OQ348894.1_91_85326_86300,324,978,1.0,2,2.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
3666,OQ348894.1_92_86301_88688,795,391,1.0,25,25.0,100.0,YP_009112799.1,175,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV113 protein,Replication-Transcription,Homo sapiens,dsDNA
3667,OQ348894.1_96_90972_93509,845,394,1.0,28,28.0,100.0,AQY17018.1,173,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,mRNA capping enzyme large subunit,Other-Functions,Homo sapiens,dsDNA
3668,OQ348894.1_99_95290_97647,785,496,1.0,25,25.0,100.0,YP_008658501.1,130,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,NTPase,Other-Functions,Homo sapiens,dsDNA
3669,OQ348894.1_100_97687_99600,637,539,1.0,17,17.0,100.0,YP_009162462.1,117,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,m81R,Replication-Transcription,Homo sapiens,dsDNA
3670,OQ348894.1_105_102416_104311,631,500,1.0,17,17.0,100.0,YP_009389359.1,129,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV128 protein,Replication-Transcription,Homo sapiens,dsDNA
3671,OQ348894.1_107_105240_106895,551,483,1.0,13,13.0,100.0,6BEB_A,134,Poxviridae,Poxviridae,Poxviridae,Orthopoxvirus,CPXV131 protein,Structural-Envelope,Homo sapiens,dsDNA
3672,OQ348894.1_111_108311_110245,644,235,1.0,18,18.0,100.0,YP_010085229.1,361,Poxviridae,Poxviridae,Poxviridae,Avipoxvirus,4b core protein,Structural-Envelope,Gallus gallus,dsDNA
